statistic,player,team,value,year
1990 American League Player Review ← 1989 | 1990 Hitting Statistics League Leaders | 1991 →,1990 American League Player Review ← 1989 | 1990 Hitting Statistics League Leaders | 1991 →,1990 American League Player Review ← 1989 | 1990 Hitting Statistics League Leaders | 1991 →,1990 American League Player Review ← 1989 | 1990 Hitting Statistics League Leaders | 1991 →,1990
Statistic,Name,Team,#,1990
Base on Balls,Mark McGwire,Oakland,110,1990
Batting Average,George Brett,Kansas City,.329,1990
Doubles,George Brett,Kansas City,45,1990
Doubles,Jody Reed,Boston,45,1990
Hits,Rafael Palmeiro,Texas,191,1990
Home Runs,Cecil Fielder,Detroit,51,1990
On Base Percentage,Rickey Henderson,Oakland,.441,1990
RBI,Cecil Fielder,Detroit,132,1990
Runs,Rickey Henderson,Oakland,119,1990
Slugging Average,Cecil Fielder,Detroit,.592,1990
Stolen Bases,Rickey Henderson,Oakland,65,1990
Total Bases,Cecil Fielder,Detroit,339,1990
Triples,Tony Fernandez,Toronto,17,1990
Statistic,Name,Team,#,1990
1990 American League Pitcher Review ← 1989 | 1990 Pitching Statistics League Leaders | 1991 →,1990 American League Pitcher Review ← 1989 | 1990 Pitching Statistics League Leaders | 1991 →,1990 American League Pitcher Review ← 1989 | 1990 Pitching Statistics League Leaders | 1991 →,1990 American League Pitcher Review ← 1989 | 1990 Pitching Statistics League Leaders | 1991 →,1990
Statistic,Name,Team,#,1990
Complete Games,Jack Morris,Detroit,11,1990
Complete Games,Dave Stewart,Oakland,11,1990
ERA,Roger Clemens,Boston,1.93,1990
Games,Bobby Thigpen,Chicago,77,1990
Saves,Bobby Thigpen,Chicago,57,1990
Shutouts,Roger Clemens,Boston,4,1990
Shutouts,Dave Stewart,Oakland,4,1990
Strikeouts,Nolan Ryan,Texas,269,1990
Winning Percentage,Bob Welch,Oakland,.818,1990
Wins,Bob Welch,Oakland,27,1990
Statistic,Name,Team,#,1990
1990 American League Team Standings,1990 American League Team Standings,1990 American League Team Standings,1990 American League Team Standings,1990
East,Team [Click for roster],Wins,Losses,1990
East,Boston Red Sox,88,74,1990
East,Toronto Blue Jays,86,76,1990
East,Detroit Tigers,79,83,1990
East,Cleveland Indians,77,85,1990
East,Baltimore Orioles,76,85,1990
East,Milwaukee Brewers,74,88,1990
East,New York Yankees,67,95,1990
