statistic,player,team,value,year
Base on Balls,Mark McGwire,Oakland,110,1990
Batting Average,George Brett,Kansas City,.329,1990
Doubles,George Brett,Kansas City,45,1990
Doubles,Jody Reed,Boston,45,1990
Hits,Rafael Palmeiro,Texas,191,1990
Home Runs,Cecil Fielder,Detroit,51,1990
On Base Percentage,Rickey Henderson,Oakland,.441,1990
RBI,Cecil Fielder,Detroit,132,1990
Runs,Rickey Henderson,Oakland,119,1990
Slugging Average,Cecil Fielder,Detroit,.592,1990
Stolen Bases,Rickey Henderson,Oakland,65,1990
Total Bases,Cecil Fielder,Detroit,339,1990
Triples,Tony Fernandez,Toronto,17,1990
Complete Games,Jack Morris,Detroit,11,1990
Complete Games,Dave Stewart,Oakland,11,1990
ERA,Roger Clemens,Boston,1.93,1990
Games,Bobby Thigpen,Chicago,77,1990
Saves,Bobby Thigpen,Chicago,57,1990
Shutouts,Roger Clemens,Boston,4,1990
Shutouts,Dave Stewart,Oakland,4,1990
Strikeouts,Nolan Ryan,Texas,269,1990
Winning Percentage,Bob Welch,Oakland,.818,1990
Wins,Bob Welch,Oakland,27,1990
Base on Balls,Frank Thomas,Chicago,138,1991
Batting Average,Julio Franco,Texas,.341,1991
Doubles,Rafael Palmeiro,Texas,49,1991
Hits,Paul Molitor,Milwaukee,216,1991
Home Runs,Jose Canseco,Oakland,44,1991
Home Runs,Cecil Fielder,Detroit,44,1991
On Base Percentage,Frank Thomas,Chicago,.454,1991
RBI,Cecil Fielder,Detroit,133,1991
Runs,Paul Molitor,Milwaukee,133,1991
Slugging Average,Danny Tartabull,Kansas City,.593,1991
Stolen Bases,Rickey Henderson,Oakland,58,1991
Total Bases,"Cal Ripken, Jr.",Baltimore,368,1991
Triples,Lance Johnson,Chicago,12,1991
Complete Games,Jack McDowell,Chicago,15,1991
ERA,Roger Clemens,Boston,2.62,1991
Games,Duane Ward,Toronto,81,1991
Saves,Bryan Harvey,California,46,1991
Shutouts,Roger Clemens,Boston,4,1991
Strikeouts,Roger Clemens,Boston,241,1991
Winning Percentage,Scott Erickson,Minnesota,.714,1991
