year,year_url
1990,https://www.baseball-almanac.com/yearly/yr1990a.shtml
1991,https://www.baseball-almanac.com/yearly/yr1991a.shtml
1992,https://www.baseball-almanac.com/yearly/yr1992a.shtml
1993,https://www.baseball-almanac.com/yearly/yr1993a.shtml
1994,https://www.baseball-almanac.com/yearly/yr1994a.shtml
1995,https://www.baseball-almanac.com/yearly/yr1995a.shtml
1996,https://www.baseball-almanac.com/yearly/yr1996a.shtml
1997,https://www.baseball-almanac.com/yearly/yr1997a.shtml
1998,https://www.baseball-almanac.com/yearly/yr1998a.shtml
1999,https://www.baseball-almanac.com/yearly/yr1999a.shtml
2000,https://www.baseball-almanac.com/yearly/yr2000a.shtml
2001,https://www.baseball-almanac.com/yearly/yr2001a.shtml
2002,https://www.baseball-almanac.com/yearly/yr2002a.shtml
2003,https://www.baseball-almanac.com/yearly/yr2003a.shtml
2004,https://www.baseball-almanac.com/yearly/yr2004a.shtml
2005,https://www.baseball-almanac.com/yearly/yr2005a.shtml
2006,https://www.baseball-almanac.com/yearly/yr2006a.shtml
2007,https://www.baseball-almanac.com/yearly/yr2007a.shtml
2008,https://www.baseball-almanac.com/yearly/yr2008a.shtml
2009,https://www.baseball-almanac.com/yearly/yr2009a.shtml
2010,https://www.baseball-almanac.com/yearly/yr2010a.shtml
2011,https://www.baseball-almanac.com/yearly/yr2011a.shtml
2012,https://www.baseball-almanac.com/yearly/yr2012a.shtml
2013,https://www.baseball-almanac.com/yearly/yr2013a.shtml
2014,https://www.baseball-almanac.com/yearly/yr2014a.shtml
2015,https://www.baseball-almanac.com/yearly/yr2015a.shtml
2016,https://www.baseball-almanac.com/yearly/yr2016a.shtml
2017,https://www.baseball-almanac.com/yearly/yr2017a.shtml
2018,https://www.baseball-almanac.com/yearly/yr2018a.shtml
2019,https://www.baseball-almanac.com/yearly/yr2019a.shtml
2020,https://www.baseball-almanac.com/yearly/yr2020a.shtml
2021,https://www.baseball-almanac.com/yearly/yr2021a.shtml
2022,https://www.baseball-almanac.com/yearly/yr2022a.shtml
2023,https://www.baseball-almanac.com/yearly/yr2023a.shtml
2024,https://www.baseball-almanac.com/yearly/yr2024a.shtml
2025,https://www.baseball-almanac.com/yearly/yr2025a.shtml
